POP,HP,REG,regHP,SAMPLE,LANE,READ1,READ2
CHSK,CH,West,WestCH,P12002_101,S13_L002,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L002_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_101,S13_L005,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L005_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L005_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_101,S13_L008,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L008_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_101/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_101_S13_L008_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_102,S46_L003,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_102_S46_L003_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_102_S46_L003_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_102,S46_L006,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_102_S46_L006_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_102_S46_L006_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_102,S1_L001,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_102_S1_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_102/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_102_S1_L001_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_103,S80_L004,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_103_S80_L004_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_103_S80_L004_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_103,S80_L007,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_103_S80_L007_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_103_S80_L007_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_103,S35_L002,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_103_S35_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_103/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_103_S35_L002_R2_001.fastq.gz
CHSK,CH,West,WestCH,P12002_104,S14_L002,../../../data/WGS/rawdata/P12002/P12002_104/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_104_S14_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_104/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_104_S14_L002_R2_001.fastq.gz
